action_record_id,personal_number,action_record_date,action_record_Time,aestination,transportation,departure,arrival,companion,companion_relationship,companion_count,companion_name,mask_usage,delflag,lastupdate
34,47762,2025-07-10,13:02:00,病院,バス,富士見町,下諏訪町,TRUE,,1,,未着用,FALSE,2025-07-10 07:38:42
35,T125521,2025-07-01,17:16:00,飲食店,徒歩,下諏訪町,岡谷市,FALSE,,3,,時々着用,FALSE,2025-07-10 07:38:42
36,T125521,2025-07-02,08:26:00,駅,自動車,茅野市,諏訪市,FALSE,,0,,常に着用,FALSE,2025-07-10 07:38:42
37,T125521,2025-07-04,12:06:00,駅,自動車,諏訪市,茅野市,FALSE,同僚,3,,未着用,FALSE,2025-07-10 07:38:42
38,T125521,2025-07-05,08:28:00,コンビニ,電車,富士見町,富士見町,TRUE,,0,,時々着用,FALSE,2025-07-10 07:38:42
39,T125521,2025-07-06,10:59:00,病院,徒歩,諏訪市,諏訪市,TRUE,,0,橋本 充,未着用,FALSE,2025-07-10 07:38:42
40,T125521,2025-07-07,10:13:00,駅,自転車,岡谷市,諏訪市,TRUE,同僚,0,,時々着用,FALSE,2025-07-10 07:38:42
41,T125521,2025-07-09,14:45:00,自宅,徒歩,岡谷市,岡谷市,FALSE,同僚,0,,未着用,FALSE,2025-07-10 07:38:42
42,T122291,2025-07-01,10:58:00,コンビニ,自動車,富士見町,岡谷市,TRUE,,3,,常に着用,FALSE,2025-07-10 07:38:42
43,T122291,2025-07-02,08:01:00,コンビニ,自動車,下諏訪町,富士見町,TRUE,家族,0,,常に着用,FALSE,2025-07-10 07:38:42
44,T122291,2025-07-03,09:46:00,病院,自転車,岡谷市,諏訪市,TRUE,家族,1,,未着用,FALSE,2025-07-10 07:38:42
45,T122291,2025-07-04,13:43:00,病院,徒歩,岡谷市,茅野市,TRUE,,1,,常に着用,FALSE,2025-07-10 07:38:42
46,T122291,2025-07-05,15:09:00,図書館,バス,下諏訪町,下諏訪町,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
47,T122291,2025-07-06,11:50:00,図書館,バス,諏訪市,諏訪市,FALSE,家族,0,鈴木 聡太郎,常に着用,FALSE,2025-07-10 07:38:42
48,T122291,2025-07-08,09:16:00,自宅,徒歩,岡谷市,富士見町,FALSE,,0,斎藤 真綾,時々着用,FALSE,2025-07-10 07:38:42
49,T122291,2025-07-09,09:43:00,駅,自転車,茅野市,下諏訪町,FALSE,,1,,未着用,FALSE,2025-07-10 07:38:42
50,T125787,2025-07-01,14:09:00,大学,バス,諏訪市,岡谷市,FALSE,友人,3,中村 美加子,常に着用,FALSE,2025-07-10 07:38:42
51,T125787,2025-07-02,09:58:00,駅,バス,下諏訪町,下諏訪町,FALSE,,2,,時々着用,FALSE,2025-07-10 07:38:42
52,T125787,2025-07-03,15:30:00,病院,電車,茅野市,岡谷市,TRUE,友人,2,,時々着用,FALSE,2025-07-10 07:38:42
53,T125787,2025-07-05,17:26:00,大学,バス,富士見町,下諏訪町,FALSE,,1,,未着用,FALSE,2025-07-10 07:38:42
54,T125787,2025-07-06,17:44:00,自宅,自動車,富士見町,茅野市,TRUE,,1,,常に着用,FALSE,2025-07-10 07:38:42
55,T125787,2025-07-07,15:13:00,大学,バス,茅野市,茅野市,FALSE,友人,3,,時々着用,FALSE,2025-07-10 07:38:42
56,T125787,2025-07-09,08:12:00,飲食店,自動車,富士見町,富士見町,FALSE,同僚,3,,常に着用,FALSE,2025-07-10 07:38:42
57,91930,2025-07-01,09:43:00,飲食店,電車,富士見町,岡谷市,FALSE,,0,,常に着用,FALSE,2025-07-10 07:38:42
58,91930,2025-07-02,10:27:00,自宅,自動車,下諏訪町,諏訪市,FALSE,,0,吉田 裕樹,時々着用,FALSE,2025-07-10 07:38:42
59,91930,2025-07-05,13:10:00,駅,電車,下諏訪町,諏訪市,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
60,91930,2025-07-06,09:31:00,図書館,バス,茅野市,下諏訪町,FALSE,,0,,常に着用,FALSE,2025-07-10 07:38:42
61,91930,2025-07-07,16:38:00,病院,自転車,富士見町,富士見町,TRUE,同僚,0,佐々木 修平,時々着用,FALSE,2025-07-10 07:38:42
62,91930,2025-07-08,14:09:00,コンビニ,自転車,岡谷市,岡谷市,FALSE,,0,伊藤 知実,時々着用,FALSE,2025-07-10 07:38:42
63,91930,2025-07-09,11:01:00,飲食店,バス,富士見町,富士見町,FALSE,家族,0,,時々着用,FALSE,2025-07-10 07:38:42
64,91930,2025-07-10,08:50:00,図書館,自動車,茅野市,茅野市,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
65,T122471,2025-07-01,10:15:00,コンビニ,自転車,富士見町,諏訪市,TRUE,家族,0,,時々着用,FALSE,2025-07-10 07:38:42
66,T122471,2025-07-02,14:25:00,飲食店,電車,下諏訪町,岡谷市,TRUE,,0,近藤 幹,未着用,FALSE,2025-07-10 07:38:42
67,T122471,2025-07-05,12:49:00,駅,徒歩,下諏訪町,諏訪市,FALSE,,0,藤井 春香,未着用,FALSE,2025-07-10 07:38:42
68,T122471,2025-07-07,11:12:00,図書館,自動車,茅野市,諏訪市,FALSE,,0,,時々着用,FALSE,2025-07-10 07:38:42
69,T122471,2025-07-08,15:08:00,病院,バス,諏訪市,富士見町,TRUE,同僚,0,,時々着用,FALSE,2025-07-10 07:38:42
70,T122471,2025-07-10,16:39:00,駅,自転車,富士見町,茅野市,FALSE,同僚,0,,未着用,FALSE,2025-07-10 07:38:42
71,T124655,2025-07-01,11:07:00,コンビニ,電車,諏訪市,茅野市,FALSE,家族,2,,未着用,FALSE,2025-07-10 07:38:42
72,T124655,2025-07-02,10:00:00,病院,徒歩,富士見町,富士見町,TRUE,同僚,0,,時々着用,FALSE,2025-07-10 07:38:42
73,T124655,2025-07-03,15:03:00,大学,自転車,茅野市,茅野市,FALSE,,3,西村 零,常に着用,FALSE,2025-07-10 07:38:42
74,T124655,2025-07-04,11:01:00,駅,徒歩,諏訪市,下諏訪町,FALSE,同僚,0,山田 加奈,常に着用,FALSE,2025-07-10 07:38:42
75,T124655,2025-07-05,15:24:00,コンビニ,バス,下諏訪町,下諏訪町,FALSE,友人,0,,常に着用,FALSE,2025-07-10 07:38:42
76,T124655,2025-07-07,17:03:00,図書館,徒歩,諏訪市,茅野市,TRUE,,1,,未着用,FALSE,2025-07-10 07:38:42
77,T124655,2025-07-08,09:06:00,飲食店,徒歩,岡谷市,岡谷市,FALSE,,3,,時々着用,FALSE,2025-07-10 07:38:42
78,T124655,2025-07-10,11:12:00,図書館,バス,諏訪市,茅野市,TRUE,,1,,常に着用,FALSE,2025-07-10 07:38:42
79,T125725,2025-07-01,08:38:00,病院,電車,富士見町,富士見町,TRUE,,0,,常に着用,FALSE,2025-07-10 07:38:42
80,T125725,2025-07-02,09:58:00,病院,バス,下諏訪町,諏訪市,FALSE,同僚,3,,時々着用,FALSE,2025-07-10 07:38:42
81,T125725,2025-07-03,09:43:00,コンビニ,自動車,岡谷市,富士見町,TRUE,友人,0,,時々着用,FALSE,2025-07-10 07:38:42
82,T125725,2025-07-04,09:48:00,病院,自転車,富士見町,茅野市,FALSE,,2,吉田 涼平,常に着用,FALSE,2025-07-10 07:38:42
83,T125725,2025-07-05,11:32:00,コンビニ,バス,岡谷市,茅野市,TRUE,友人,0,,未着用,FALSE,2025-07-10 07:38:42
84,T125725,2025-07-06,09:32:00,飲食店,自動車,諏訪市,諏訪市,FALSE,,0,三浦 七夏,時々着用,FALSE,2025-07-10 07:38:42
85,T125725,2025-07-07,10:58:00,飲食店,徒歩,岡谷市,岡谷市,FALSE,友人,1,藤田 治,常に着用,FALSE,2025-07-10 07:38:42
86,T125725,2025-07-08,10:54:00,駅,電車,下諏訪町,富士見町,FALSE,,2,池田 洋介,時々着用,FALSE,2025-07-10 07:38:42
87,T125725,2025-07-09,15:47:00,駅,バス,下諏訪町,下諏訪町,TRUE,友人,0,,常に着用,FALSE,2025-07-10 07:38:42
88,T125725,2025-07-10,16:14:00,飲食店,自動車,下諏訪町,茅野市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
89,28643,2025-07-02,16:19:00,大学,バス,下諏訪町,諏訪市,TRUE,家族,3,,未着用,FALSE,2025-07-10 07:38:42
90,28643,2025-07-03,17:38:00,図書館,電車,富士見町,富士見町,TRUE,同僚,3,,時々着用,FALSE,2025-07-10 07:38:42
91,28643,2025-07-04,17:31:00,自宅,徒歩,諏訪市,茅野市,FALSE,,2,,時々着用,FALSE,2025-07-10 07:38:42
92,28643,2025-07-06,11:48:00,自宅,バス,下諏訪町,茅野市,TRUE,,2,,常に着用,FALSE,2025-07-10 07:38:42
93,28643,2025-07-08,08:18:00,大学,バス,下諏訪町,諏訪市,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
94,28643,2025-07-09,13:49:00,駅,徒歩,茅野市,下諏訪町,FALSE,,0,,時々着用,FALSE,2025-07-10 07:38:42
95,28643,2025-07-10,11:47:00,大学,電車,岡谷市,岡谷市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
96,T122681,2025-07-01,14:59:00,大学,電車,富士見町,茅野市,TRUE,,1,,常に着用,FALSE,2025-07-10 07:38:42
97,T122681,2025-07-02,08:47:00,コンビニ,自動車,諏訪市,下諏訪町,FALSE,,0,田中 晃,未着用,FALSE,2025-07-10 07:38:42
98,T122681,2025-07-03,15:23:00,飲食店,自動車,下諏訪町,富士見町,TRUE,,0,阿部 加奈,時々着用,FALSE,2025-07-10 07:38:42
99,T122681,2025-07-04,13:29:00,自宅,バス,下諏訪町,富士見町,TRUE,家族,0,,常に着用,FALSE,2025-07-10 07:38:42
100,T122681,2025-07-05,16:44:00,駅,自動車,岡谷市,富士見町,TRUE,家族,0,,常に着用,FALSE,2025-07-10 07:38:42
101,T122681,2025-07-07,11:02:00,自宅,自動車,岡谷市,諏訪市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
102,T122681,2025-07-08,15:12:00,飲食店,徒歩,富士見町,諏訪市,TRUE,友人,0,福田 智也,常に着用,FALSE,2025-07-10 07:38:42
103,T122681,2025-07-10,10:29:00,飲食店,徒歩,岡谷市,茅野市,TRUE,,3,,常に着用,FALSE,2025-07-10 07:38:42
104,T124441,2025-07-01,17:34:00,病院,自転車,富士見町,岡谷市,TRUE,,3,,未着用,FALSE,2025-07-10 07:38:42
105,T124441,2025-07-02,12:17:00,図書館,自動車,下諏訪町,茅野市,FALSE,,0,,時々着用,FALSE,2025-07-10 07:38:42
106,T124441,2025-07-03,09:16:00,図書館,自転車,富士見町,諏訪市,FALSE,家族,0,伊藤 知実,未着用,FALSE,2025-07-10 07:38:42
107,T124441,2025-07-05,15:57:00,コンビニ,自転車,諏訪市,茅野市,FALSE,,3,,常に着用,FALSE,2025-07-10 07:38:42
108,T124441,2025-07-06,13:25:00,自宅,自転車,茅野市,富士見町,TRUE,,3,,時々着用,FALSE,2025-07-10 07:38:42
109,T124441,2025-07-07,11:38:00,コンビニ,電車,岡谷市,岡谷市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
110,T124441,2025-07-08,13:54:00,病院,自転車,富士見町,富士見町,TRUE,,1,,未着用,FALSE,2025-07-10 07:38:42
111,T124441,2025-07-09,08:25:00,自宅,電車,富士見町,富士見町,FALSE,家族,0,佐藤 くみ子,未着用,FALSE,2025-07-10 07:38:42
112,T124441,2025-07-10,09:38:00,図書館,自動車,富士見町,諏訪市,TRUE,同僚,0,,常に着用,FALSE,2025-07-10 07:38:42
113,T123801,2025-07-01,15:25:00,コンビニ,徒歩,茅野市,諏訪市,FALSE,,1,西村 充,時々着用,FALSE,2025-07-10 07:38:42
114,T123801,2025-07-02,17:48:00,飲食店,自転車,岡谷市,下諏訪町,FALSE,,1,,常に着用,FALSE,2025-07-10 07:38:42
115,T123801,2025-07-03,09:04:00,飲食店,自動車,諏訪市,諏訪市,FALSE,,3,,常に着用,FALSE,2025-07-10 07:38:42
116,T123801,2025-07-04,15:28:00,病院,バス,諏訪市,下諏訪町,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
117,T123801,2025-07-05,10:27:00,駅,電車,諏訪市,富士見町,TRUE,友人,0,,未着用,FALSE,2025-07-10 07:38:42
118,T123801,2025-07-07,13:52:00,図書館,バス,富士見町,茅野市,TRUE,家族,1,,未着用,FALSE,2025-07-10 07:38:42
119,T123923,2025-07-02,17:22:00,大学,電車,諏訪市,岡谷市,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
120,T123923,2025-07-03,09:42:00,駅,自動車,諏訪市,茅野市,FALSE,家族,0,,未着用,FALSE,2025-07-10 07:38:42
121,T123923,2025-07-04,17:40:00,駅,電車,下諏訪町,茅野市,TRUE,同僚,0,,時々着用,FALSE,2025-07-10 07:38:42
122,T123923,2025-07-06,13:39:00,病院,バス,下諏訪町,岡谷市,FALSE,友人,3,藤田 花子,時々着用,FALSE,2025-07-10 07:38:42
123,T123923,2025-07-08,17:11:00,図書館,電車,諏訪市,諏訪市,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
124,T123923,2025-07-09,08:37:00,自宅,電車,富士見町,富士見町,FALSE,,1,,未着用,FALSE,2025-07-10 07:38:42
125,T123923,2025-07-10,12:57:00,図書館,バス,富士見町,富士見町,TRUE,友人,0,,未着用,FALSE,2025-07-10 07:38:42
126,62760,2025-07-01,16:46:00,図書館,バス,茅野市,茅野市,TRUE,,0,佐藤 聡太郎,時々着用,FALSE,2025-07-10 07:38:42
127,62760,2025-07-02,12:30:00,駅,自転車,諏訪市,茅野市,FALSE,,0,坂本 明美,未着用,FALSE,2025-07-10 07:38:42
128,62760,2025-07-03,16:53:00,コンビニ,電車,岡谷市,富士見町,TRUE,,3,,常に着用,FALSE,2025-07-10 07:38:42
129,62760,2025-07-04,14:25:00,図書館,自動車,下諏訪町,岡谷市,FALSE,,0,遠藤 智也,常に着用,FALSE,2025-07-10 07:38:42
130,62760,2025-07-05,11:55:00,大学,自動車,岡谷市,茅野市,TRUE,家族,0,,未着用,FALSE,2025-07-10 07:38:42
131,62760,2025-07-06,13:38:00,コンビニ,徒歩,下諏訪町,下諏訪町,FALSE,同僚,0,,常に着用,FALSE,2025-07-10 07:38:42
132,62760,2025-07-07,17:47:00,自宅,自転車,茅野市,富士見町,TRUE,,2,,未着用,FALSE,2025-07-10 07:38:42
133,62760,2025-07-09,17:37:00,コンビニ,徒歩,岡谷市,諏訪市,TRUE,,0,井上 七夏,時々着用,FALSE,2025-07-10 07:38:42
134,62760,2025-07-10,17:56:00,飲食店,自転車,富士見町,富士見町,FALSE,家族,0,,常に着用,FALSE,2025-07-10 07:38:42
135,T124216,2025-07-01,14:34:00,図書館,徒歩,諏訪市,茅野市,FALSE,,3,,未着用,FALSE,2025-07-10 07:38:42
136,T124216,2025-07-02,10:00:00,大学,バス,茅野市,富士見町,TRUE,,0,,常に着用,FALSE,2025-07-10 07:38:42
137,T124216,2025-07-03,15:19:00,図書館,バス,下諏訪町,岡谷市,TRUE,家族,1,,常に着用,FALSE,2025-07-10 07:38:42
138,T124216,2025-07-04,17:16:00,病院,電車,茅野市,諏訪市,TRUE,,0,,常に着用,FALSE,2025-07-10 07:38:42
139,T124216,2025-07-05,13:23:00,病院,電車,諏訪市,茅野市,FALSE,,3,,時々着用,FALSE,2025-07-10 07:38:42
140,T124216,2025-07-06,14:46:00,飲食店,自転車,下諏訪町,富士見町,FALSE,,2,,未着用,FALSE,2025-07-10 07:38:42
141,T124216,2025-07-07,10:21:00,飲食店,徒歩,茅野市,下諏訪町,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
142,T124216,2025-07-08,08:53:00,図書館,バス,諏訪市,諏訪市,TRUE,,2,田中 治,常に着用,FALSE,2025-07-10 07:38:42
143,T124216,2025-07-09,14:33:00,病院,自動車,富士見町,岡谷市,TRUE,,0,,常に着用,FALSE,2025-07-10 07:38:42
144,67382,2025-07-02,11:19:00,大学,自動車,富士見町,富士見町,TRUE,,3,佐藤 稔,常に着用,FALSE,2025-07-10 07:38:42
145,67382,2025-07-03,12:42:00,飲食店,バス,岡谷市,下諏訪町,FALSE,,0,井上 学,常に着用,FALSE,2025-07-10 07:38:42
146,67382,2025-07-04,17:32:00,自宅,電車,岡谷市,岡谷市,TRUE,,2,,時々着用,FALSE,2025-07-10 07:38:42
147,67382,2025-07-05,16:38:00,大学,自動車,諏訪市,富士見町,FALSE,友人,0,,未着用,FALSE,2025-07-10 07:38:42
148,67382,2025-07-07,15:33:00,病院,自動車,下諏訪町,茅野市,FALSE,,0,,常に着用,FALSE,2025-07-10 07:38:42
149,67382,2025-07-08,12:24:00,大学,バス,茅野市,茅野市,FALSE,家族,0,田中 拓真,時々着用,FALSE,2025-07-10 07:38:42
150,67382,2025-07-09,09:35:00,病院,電車,諏訪市,富士見町,TRUE,家族,3,中川 舞,未着用,FALSE,2025-07-10 07:38:42
151,67382,2025-07-10,11:14:00,病院,自転車,茅野市,茅野市,FALSE,同僚,0,,時々着用,FALSE,2025-07-10 07:38:42
152,T122163,2025-07-01,09:49:00,大学,徒歩,下諏訪町,富士見町,TRUE,,0,,時々着用,FALSE,2025-07-10 07:38:42
153,T122163,2025-07-02,17:48:00,飲食店,電車,下諏訪町,茅野市,FALSE,同僚,2,,未着用,FALSE,2025-07-10 07:38:42
154,T122163,2025-07-03,13:55:00,病院,自転車,下諏訪町,諏訪市,FALSE,友人,1,,常に着用,FALSE,2025-07-10 07:38:42
155,T122163,2025-07-04,12:25:00,図書館,自動車,岡谷市,茅野市,FALSE,家族,2,,時々着用,FALSE,2025-07-10 07:38:42
156,T122163,2025-07-05,14:21:00,駅,バス,岡谷市,下諏訪町,TRUE,,0,,常に着用,FALSE,2025-07-10 07:38:42
157,T122163,2025-07-06,14:30:00,図書館,自転車,茅野市,下諏訪町,TRUE,,3,,未着用,FALSE,2025-07-10 07:38:42
158,T122163,2025-07-07,16:18:00,駅,電車,富士見町,富士見町,TRUE,同僚,2,,未着用,FALSE,2025-07-10 07:38:42
159,T122163,2025-07-08,13:42:00,駅,電車,岡谷市,富士見町,FALSE,,3,,常に着用,FALSE,2025-07-10 07:38:42
160,T122163,2025-07-09,17:11:00,図書館,電車,岡谷市,岡谷市,FALSE,,0,,時々着用,FALSE,2025-07-10 07:38:42
161,T122163,2025-07-10,10:28:00,飲食店,自転車,岡谷市,下諏訪町,FALSE,,2,山口 直子,時々着用,FALSE,2025-07-10 07:38:42
162,T125018,2025-07-01,12:33:00,自宅,バス,岡谷市,下諏訪町,FALSE,,1,,常に着用,FALSE,2025-07-10 07:38:42
163,T125018,2025-07-02,12:17:00,コンビニ,徒歩,茅野市,茅野市,FALSE,友人,0,,常に着用,FALSE,2025-07-10 07:38:42
164,T125018,2025-07-03,14:46:00,自宅,徒歩,諏訪市,岡谷市,TRUE,,1,,時々着用,FALSE,2025-07-10 07:38:42
165,T125018,2025-07-04,10:14:00,自宅,自転車,諏訪市,諏訪市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
166,T125018,2025-07-06,10:18:00,コンビニ,自動車,茅野市,富士見町,FALSE,,0,,時々着用,FALSE,2025-07-10 07:38:42
167,T125018,2025-07-08,11:52:00,飲食店,徒歩,下諏訪町,岡谷市,FALSE,同僚,1,,常に着用,FALSE,2025-07-10 07:38:42
168,T125018,2025-07-09,16:00:00,自宅,徒歩,下諏訪町,下諏訪町,FALSE,,0,,常に着用,FALSE,2025-07-10 07:38:42
169,T125018,2025-07-10,11:13:00,病院,自動車,下諏訪町,下諏訪町,TRUE,,0,鈴木 裕太,常に着用,FALSE,2025-07-10 07:38:42
170,89135,2025-07-01,12:05:00,自宅,自動車,岡谷市,岡谷市,FALSE,友人,2,吉田 さゆり,時々着用,FALSE,2025-07-10 07:38:42
171,89135,2025-07-02,12:38:00,コンビニ,自動車,下諏訪町,茅野市,FALSE,友人,0,松本 裕美子,常に着用,FALSE,2025-07-10 07:38:42
172,89135,2025-07-03,10:08:00,コンビニ,バス,諏訪市,茅野市,TRUE,,2,,時々着用,FALSE,2025-07-10 07:38:42
173,89135,2025-07-05,08:32:00,駅,徒歩,茅野市,諏訪市,FALSE,,0,山本 直人,時々着用,FALSE,2025-07-10 07:38:42
174,89135,2025-07-08,12:14:00,病院,バス,茅野市,諏訪市,TRUE,友人,0,,時々着用,FALSE,2025-07-10 07:38:42
175,89135,2025-07-09,13:19:00,駅,自転車,諏訪市,富士見町,TRUE,家族,1,,常に着用,FALSE,2025-07-10 07:38:42
176,T122376,2025-07-01,15:24:00,駅,徒歩,茅野市,岡谷市,TRUE,同僚,1,,未着用,FALSE,2025-07-10 07:38:42
177,T122376,2025-07-02,10:38:00,駅,徒歩,茅野市,茅野市,FALSE,家族,0,,未着用,FALSE,2025-07-10 07:38:42
178,T122376,2025-07-03,14:04:00,コンビニ,自転車,富士見町,諏訪市,TRUE,家族,0,,時々着用,FALSE,2025-07-10 07:38:42
179,T122376,2025-07-05,11:17:00,大学,バス,岡谷市,茅野市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
180,T122376,2025-07-06,11:14:00,自宅,自転車,富士見町,岡谷市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
181,T122376,2025-07-07,17:03:00,図書館,バス,岡谷市,岡谷市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
182,T122376,2025-07-09,12:04:00,駅,徒歩,富士見町,下諏訪町,TRUE,,0,小林 英樹,時々着用,FALSE,2025-07-10 07:38:42
183,T122376,2025-07-10,13:29:00,大学,徒歩,富士見町,諏訪市,TRUE,,1,吉田 七夏,時々着用,FALSE,2025-07-10 07:38:42
184,T125954,2025-07-01,08:32:00,自宅,バス,下諏訪町,富士見町,FALSE,同僚,0,佐藤 結衣,常に着用,FALSE,2025-07-10 07:38:42
185,T125954,2025-07-02,09:21:00,病院,徒歩,岡谷市,富士見町,FALSE,,0,橋本 美加子,常に着用,FALSE,2025-07-10 07:38:42
186,T125954,2025-07-03,13:11:00,大学,自転車,富士見町,諏訪市,TRUE,,3,,未着用,FALSE,2025-07-10 07:38:42
187,T125954,2025-07-04,11:03:00,自宅,自動車,下諏訪町,諏訪市,FALSE,,0,佐々木 裕太,常に着用,FALSE,2025-07-10 07:38:42
188,T125954,2025-07-05,16:36:00,駅,自転車,富士見町,富士見町,FALSE,,0,,時々着用,FALSE,2025-07-10 07:38:42
189,T125954,2025-07-06,15:20:00,飲食店,電車,富士見町,茅野市,TRUE,家族,2,,時々着用,FALSE,2025-07-10 07:38:42
190,T125954,2025-07-07,08:35:00,駅,自動車,諏訪市,富士見町,TRUE,,1,佐々木 裕美子,時々着用,FALSE,2025-07-10 07:38:42
191,T125954,2025-07-08,12:42:00,自宅,自動車,富士見町,富士見町,TRUE,,1,中村 直子,未着用,FALSE,2025-07-10 07:38:42
