user_id,personal_number,affiliation,namae,phone_number,user_class,position,attendance_suspension,login_pass,delflag,lastupdate
49,81997,教務部,中村 健一,070-0448-9490,教員,特任,FALSE,^UIadK4kz1,FALSE,2025-07-10 07:31:05
50,T123806,機械電子工学科,佐藤 幹,32-1406-6647,学生,,FALSE,*7ZW_(Fp$7,FALSE,2025-07-10 07:31:05
51,T122504,情報応用工学科,渡辺 篤司,82-6334-2641,学生,,FALSE,@!rQr3Sh)q,FALSE,2025-07-10 07:31:05
52,92593,教務部,前田 明美,090-5529-6432,職員,臨時,FALSE,BhcDQ3Zl8%,FALSE,2025-07-10 07:31:05
53,T122656,機械電子工学科,橋本 涼平,080-0309-7476,学生,,FALSE,SV6X$eyU(4,FALSE,2025-07-10 07:31:05
54,T124276,情報応用工学科,林 美加子,070-7694-0922,学生,,FALSE,e3pKevSg#s,FALSE,2025-07-10 07:31:05
55,T124283,機械電子工学科,西村 春香,080-7966-8165,学生,,FALSE,JR&0FXek^D,FALSE,2025-07-10 07:31:05
56,T122386,情報応用工学科,井上 太郎,070-6453-1803,学生,,FALSE,PuWlc6PkX^,FALSE,2025-07-10 07:31:05
57,T125479,情報応用工学科,阿部 亮介,27-3981-0007,学生,,FALSE,Td3zVxrO!$,FALSE,2025-07-10 07:31:05
58,70492,教務部,後藤 洋介,090-5500-3061,教員,非常勤,FALSE,@51UtjgiFc,FALSE,2025-07-10 07:31:05
59,T125441,情報応用工学科,佐藤 拓真,090-2474-0888,学生,,FALSE,m1&Y*NJ3(j,FALSE,2025-07-10 07:31:05
60,T124060,機械電子工学科,西村 裕樹,080-9143-9273,学生,,FALSE,D!n^$4Sv6+,FALSE,2025-07-10 07:31:05
61,T124104,機械電子工学科,小林 香織,080-9340-5550,学生,,FALSE,Lm&!0Jvc4v,FALSE,2025-07-10 07:31:05
62,T123715,機械電子工学科,佐藤 太一,070-9154-5662,学生,,FALSE,p8c7I&0w)a,FALSE,2025-07-10 07:31:05
63,T123954,情報応用工学科,伊藤 あすか,090-6834-2694,学生,,FALSE,g!u2&Y7d^1,FALSE,2025-07-10 07:31:05
64,T123888,情報応用工学科,鈴木 康弘,070-1150-8841,学生,,FALSE,XpCLGQ5z@4,FALSE,2025-07-10 07:31:05
65,T123585,情報応用工学科,渡辺 健一,080-2792-1511,学生,,FALSE,O%Res(4y9F,FALSE,2025-07-10 07:31:05
66,88574,教務部,山口 花子,070-3537-3235,職員,専任,FALSE,!36&2CvxFC,FALSE,2025-07-10 07:31:05
67,T123144,機械電子工学科,中村 さゆり,080-3143-1704,学生,,FALSE,+p(2rDm*YX,FALSE,2025-07-10 07:31:05
68,T123407,機械電子工学科,小林 篤司,070-2614-6293,学生,,FALSE,@5L*Jz%r6G,FALSE,2025-07-10 07:31:05
69,T125401,情報応用工学科,佐藤 陽一,080-2276-5002,学生,,FALSE,_MC#7YHk2x,FALSE,2025-07-10 07:31:05
70,T123172,機械電子工学科,池田 治,090-9782-8736,学生,,FALSE,!6ND_cE+M$,FALSE,2025-07-10 07:31:05
71,T125474,機械電子工学科,鈴木 知実,080-7505-8014,学生,,FALSE,sY9E9!Vx_%,FALSE,2025-07-10 07:31:05
72,T125592,情報応用工学科,池田 七夏,83-1867-6911,学生,,FALSE,^6JxVmmr6l,FALSE,2025-07-10 07:31:05
73,T123851,機械電子工学科,田中 京助,83-9985-8949,学生,,FALSE,!&3$SWOgVw,FALSE,2025-07-10 07:31:05
74,T123430,機械電子工学科,田中 直子,090-8531-8460,学生,,FALSE,xDR2UoDh!$,FALSE,2025-07-10 07:31:05
75,T124294,機械電子工学科,石井 美加子,46-3210-1204,学生,,FALSE,b1VXdnBz&9,FALSE,2025-07-10 07:31:05
76,69692,財務部,田中 真綾,070-6303-2826,職員,専任,FALSE,$_2ZrdBi*u,FALSE,2025-07-10 07:31:05
77,41304,財務部,鈴木 明美,090-0704-3411,教員,専任,FALSE,!G$04OEf&k,FALSE,2025-07-10 07:31:05
78,63851,教務部,石川 淳,070-8060-6136,職員,嘱託,FALSE,7M2iIOYr1*,FALSE,2025-07-10 07:31:05
79,T125092,機械電子工学科,佐藤 七夏,090-6184-4288,学生,,FALSE,*nVVdX3+t5,FALSE,2025-07-10 07:31:05
80,59975,財務部,田中 亮介,94-4811-0412,職員,臨時,FALSE,_75ECrE85w,FALSE,2025-07-10 07:31:05
81,95483,教務部,鈴木 春香,070-0230-5832,教員,特任,FALSE,BN*37CJjVb,FALSE,2025-07-10 07:31:05
82,T122151,情報応用工学科,山下 美加子,080-6505-0384,学生,,FALSE,+hJx5GNqmw,FALSE,2025-07-10 07:31:05
83,T124087,機械電子工学科,山本 七夏,070-7808-7894,学生,,FALSE,)JZ@o9w$&6,FALSE,2025-07-10 07:31:05
84,23155,財務部,近藤 真綾,070-9128-4124,教員,専任,FALSE,xk6Yd!n_)k,FALSE,2025-07-10 07:31:05
85,T124187,機械電子工学科,佐藤 くみ子,070-6124-4097,学生,,FALSE,bv$Z91Oxv),FALSE,2025-07-10 07:31:05
86,12011,教務部,佐藤 篤司,090-8160-7078,教員,特任,FALSE,@)2tLw9Q+A,FALSE,2025-07-10 07:31:05
87,95848,教務部,藤井 太一,080-0358-8499,職員,専任,FALSE,^0TCOygi_z,FALSE,2025-07-10 07:31:05
88,T123951,機械電子工学科,田中 さゆり,090-5503-5221,学生,,FALSE,diHk5Zo$F&,FALSE,2025-07-10 07:31:05
89,T123403,機械電子工学科,渡辺 結衣,080-2691-6174,学生,,FALSE,%bNdC0Eey_,FALSE,2025-07-10 07:31:05
90,T124705,情報応用工学科,村上 拓真,070-8416-6514,学生,,FALSE,+2__Yql2AS,FALSE,2025-07-10 07:31:05
91,T125545,機械電子工学科,後藤 涼平,30-2003-4679,学生,,FALSE,N3qKWdWA^D,FALSE,2025-07-10 07:31:05
92,T125549,機械電子工学科,佐藤 香織,28-0046-1427,学生,,FALSE,Yz3Q7tXV(c,FALSE,2025-07-10 07:31:05
93,T125973,機械電子工学科,小川 千代,080-4114-3232,学生,,FALSE,s7rb(J+A%o,FALSE,2025-07-10 07:31:05
94,T124610,機械電子工学科,高橋 真綾,64-8820-3859,学生,,FALSE,Y#d2#gEbRj,FALSE,2025-07-10 07:31:05
95,T125635,情報応用工学科,加藤 学,070-8418-9369,学生,,FALSE,Z1_3Qa)k@Y,FALSE,2025-07-10 07:31:05
96,90952,教務部,山下 晃,070-6439-7960,職員,専任,FALSE,R*sZ3D$g3z,FALSE,2025-07-10 07:31:05
97,T124629,機械電子工学科,鈴木 あすか,080-5804-2128,学生,,FALSE,2p1PFHM43%,FALSE,2025-07-10 07:31:05
98,T122944,情報応用工学科,小川 晃,38-8944-4770,学生,,FALSE,%$ib7I$vjV,FALSE,2025-07-10 07:31:05
99,T123800,情報応用工学科,山本 英樹,090-6889-6753,学生,,FALSE,kB#tz9RiE(,FALSE,2025-07-10 07:31:05
100,93091,教務部,山本 里佳,72-1454-6595,教員,特任,FALSE,Kr9!IxwX#%,FALSE,2025-07-10 07:31:05
101,T122693,機械電子工学科,鈴木 陽子,070-7015-2272,学生,,FALSE,F!z9gIa*iD,FALSE,2025-07-10 07:31:05
102,T125768,情報応用工学科,吉田 京助,070-3226-7905,学生,,FALSE,@9aOrTXRF_,FALSE,2025-07-10 07:31:05
103,16029,財務部,坂本 直人,070-8569-4042,職員,専任,FALSE,yqR8c4Uv3^,FALSE,2025-07-10 07:31:05
104,48462,財務部,伊藤 幹,090-4586-2478,職員,嘱託,FALSE,$!0zJ%jzn_,FALSE,2025-07-10 07:31:05
105,T123788,情報応用工学科,山口 加奈,080-9007-2882,学生,,FALSE,+#+6rBe1!B,FALSE,2025-07-10 07:31:05
106,42015,財務部,福田 京助,090-9330-8902,職員,臨時,FALSE,Z)62V5e4l*,FALSE,2025-07-10 07:31:05
107,99396,教務部,岡田 七夏,090-6135-4671,職員,専任,FALSE,$FdJ4OkGnA,FALSE,2025-07-10 07:31:05
108,32952,教務部,清水 直子,080-8192-6623,教員,非常勤,FALSE,_^7X@y+DbJ,FALSE,2025-07-10 07:31:05
109,T125633,機械電子工学科,吉田 晃,090-1232-9277,学生,,FALSE,&m1C5Ojg8#,FALSE,2025-07-10 07:31:05
110,T124585,情報応用工学科,井上 直子,96-6583-3052,学生,,FALSE,^gO1BM(eQf,FALSE,2025-07-10 07:31:05
111,75251,教務部,渡辺 英樹,070-6936-2039,教員,専任,FALSE,+uu3Cocx3$,FALSE,2025-07-10 07:31:05
112,T123919,機械電子工学科,石川 里佳,070-8070-4499,学生,,FALSE,sl1XG*Ig9&,FALSE,2025-07-10 07:31:05
113,T123913,機械電子工学科,井上 あすか,090-2199-6141,学生,,FALSE,7k@5hJWh0h,FALSE,2025-07-10 07:31:05
114,T124786,情報応用工学科,山本 京助,070-8948-3203,学生,,FALSE,bZ4v*0EpW^,FALSE,2025-07-10 07:31:05
115,T125755,機械電子工学科,伊藤 浩,080-7576-9840,学生,,FALSE,27&0UsbiCU,FALSE,2025-07-10 07:31:05
116,47710,教務部,田中 太郎,080-5113-1490,教員,専任,FALSE,V5t9f6Wu_h,FALSE,2025-07-10 07:31:05
117,T123838,機械電子工学科,中村 裕美子,070-3094-0928,学生,,FALSE,6(R5ZwTJwU,FALSE,2025-07-10 07:31:05
118,T124456,機械電子工学科,石川 淳,86-3125-7376,学生,,FALSE,g@6^BRRdHi,FALSE,2025-07-10 07:31:05
119,T124672,機械電子工学科,山田 修平,070-7693-8541,学生,,FALSE,_#rwWr8$@8,FALSE,2025-07-10 07:31:05
120,T124887,機械電子工学科,加藤 翔太,45-4684-5034,学生,,FALSE,b)n5Jvf!Rs,FALSE,2025-07-10 07:31:05
121,T123903,機械電子工学科,佐々木 修平,12-8288-4552,学生,,FALSE,ZD&4T8PdeD,FALSE,2025-07-10 07:31:05
122,T122828,機械電子工学科,田中 晃,080-9812-0164,学生,,FALSE,(gUE7i7K32,FALSE,2025-07-10 07:31:05
123,T125571,機械電子工学科,渡辺 聡太郎,080-9764-9066,学生,,FALSE,E@4RBxh2*C,FALSE,2025-07-10 07:31:05
124,T122443,情報応用工学科,佐藤 篤司,070-5757-3657,学生,,FALSE,)K$8nnTnUy,FALSE,2025-07-10 07:31:05
125,T123587,機械電子工学科,鈴木 美加子,080-0764-3481,学生,,FALSE,#$1ASva)!U,FALSE,2025-07-10 07:31:05
126,T124406,機械電子工学科,渡辺 明美,96-1089-6827,学生,,FALSE,f1AUdygd%n,FALSE,2025-07-10 07:31:05
127,48710,教務部,松田 洋介,090-7608-1433,教員,非常勤,FALSE,(!t+9VsSt5,FALSE,2025-07-10 07:31:05
128,61895,財務部,長谷川 くみ子,92-7719-0452,教員,専任,FALSE,&+lGCmzky6,FALSE,2025-07-10 07:31:05
129,84204,教務部,鈴木 陽子,39-7234-7265,職員,臨時,FALSE,q#!43inp+N,FALSE,2025-07-10 07:31:05
130,T125120,機械電子工学科,鈴木 拓真,080-4616-3368,学生,,FALSE,k)4yPPq8*P,FALSE,2025-07-10 07:31:05
131,47522,教務部,中川 舞,090-3438-2153,職員,臨時,FALSE,WNx6MYLw^5,FALSE,2025-07-10 07:31:05
132,56195,教務部,坂本 健一,080-2289-9502,教員,非常勤,FALSE,!6_!kHwu(+,FALSE,2025-07-10 07:31:05
133,34928,財務部,佐藤 くみ子,03-5956-8032,職員,臨時,FALSE,0U!7*HrUhy,FALSE,2025-07-10 07:31:05
134,T125165,情報応用工学科,三浦 幹,07-1444-4850,学生,,FALSE,#Md1GbRyF7,FALSE,2025-07-10 07:31:05
135,T124632,情報応用工学科,小林 直人,070-2472-7084,学生,,FALSE,!5q#Ekc0pq,FALSE,2025-07-10 07:31:05
136,92278,教務部,鈴木 あすか,070-7033-3953,教員,特任,FALSE,k1KG8bl^_i,FALSE,2025-07-10 07:31:05
137,T125303,機械電子工学科,斉藤 幹,090-5773-7448,学生,,FALSE,)dAr1D(b#@,FALSE,2025-07-10 07:31:05
138,T122136,機械電子工学科,鈴木 篤司,070-3734-4510,学生,,FALSE,)4WuJ$lMBa,FALSE,2025-07-10 07:31:05
139,T125068,情報応用工学科,太田 修平,090-5193-2095,学生,,FALSE,D%6XLve+cz,FALSE,2025-07-10 07:31:05
140,21815,財務部,佐藤 さゆり,32-4819-5854,教員,特任,FALSE,KUr*S2Fqc6,FALSE,2025-07-10 07:31:05
141,64485,教務部,鈴木 桃子,070-0324-5733,職員,専任,FALSE,w3)8A9Ig)O,FALSE,2025-07-10 07:31:05
142,27327,財務部,渡辺 桃子,090-3579-4616,職員,臨時,FALSE,#Z86J0dx^G,FALSE,2025-07-10 07:31:05
143,75802,財務部,中村 結衣,47-6041-7971,職員,専任,FALSE,_u53#DtyEX,FALSE,2025-07-10 07:31:05
144,T123071,機械電子工学科,橋本 七夏,090-2196-8383,学生,,FALSE,&2zjU&sb@n,FALSE,2025-07-10 07:31:05
145,48702,財務部,林 春香,13-6581-6701,教員,専任,FALSE,C7_Avstf*(,FALSE,2025-07-10 07:31:05
146,T123962,情報応用工学科,吉田 淳,090-1097-2095,学生,,FALSE,W^8OFVtY0U,FALSE,2025-07-10 07:31:05
147,T122588,情報応用工学科,山下 七夏,67-6438-9374,学生,,FALSE,(77CtVdxgD,FALSE,2025-07-10 07:31:05
148,T125613,機械電子工学科,石川 千代,070-7584-8301,学生,,FALSE,*R5B_%m(uU,FALSE,2025-07-10 07:31:05
149,T125551,機械電子工学科,松田 晃,33-8001-7724,学生,,FALSE,AZL54Weh+4,FALSE,2025-07-10 07:31:05
150,T122375,機械電子工学科,鈴木 直子,090-1146-3224,学生,,FALSE,%5yM%wa+ZP,FALSE,2025-07-10 07:31:05
151,11824,財務部,清水 くみ子,080-4330-8330,教員,非常勤,FALSE,#3OhnexUFT,FALSE,2025-07-10 07:31:05
152,26205,財務部,高橋 加奈,070-6667-2163,職員,嘱託,FALSE,H1$l2QIpZK,FALSE,2025-07-10 07:31:05
153,T124825,機械電子工学科,後藤 淳,90-8013-5491,学生,,FALSE,x4(TngTf_B,FALSE,2025-07-10 07:31:05
154,T124454,機械電子工学科,阿部 結衣,090-6729-0500,学生,,FALSE,mF0PIXs0r+,FALSE,2025-07-10 07:31:05
155,T125453,機械電子工学科,坂本 真綾,070-6504-9625,学生,,FALSE,WG6S@uOsA^,FALSE,2025-07-10 07:31:05
156,T122453,情報応用工学科,佐藤 香織,080-2955-4478,学生,,FALSE,+&%0VlJme2,FALSE,2025-07-10 07:31:05
157,T123979,情報応用工学科,山下 七夏,080-5002-8782,学生,,FALSE,_y0JGIupv(,FALSE,2025-07-10 07:31:05
158,T124602,機械電子工学科,高橋 翔太,070-5957-8572,学生,,FALSE,Xd0Mc^og)g,FALSE,2025-07-10 07:31:05
159,T125854,情報応用工学科,松本 真綾,070-8262-2060,学生,,FALSE,$HD+I(tb8V,FALSE,2025-07-10 07:31:05
160,94935,教務部,佐々木 知実,070-4500-4522,教員,非常勤,FALSE,@MWGD_Air9,FALSE,2025-07-10 07:31:05
161,T125463,機械電子工学科,中川 春香,070-3606-6309,学生,,FALSE,8FMBwPS@!q,FALSE,2025-07-10 07:31:05
162,T125831,機械電子工学科,渡辺 明美,95-5106-4349,学生,,FALSE,7&QA2mVre0,FALSE,2025-07-10 07:31:05
163,T124731,機械電子工学科,清水 美加子,090-4454-4766,学生,,FALSE,$0QaOn(r!B,FALSE,2025-07-10 07:31:05
164,T122490,情報応用工学科,伊藤 幹,070-3005-9716,学生,,FALSE,$4Du2pyLyf,FALSE,2025-07-10 07:31:05
165,15945,教務部,遠藤 千代,080-6721-8635,職員,嘱託,FALSE,)7Jp+%Jo$s,FALSE,2025-07-10 07:31:05
166,T124068,情報応用工学科,井上 翔太,070-0600-2296,学生,,FALSE,^!TMd&460K,FALSE,2025-07-10 07:31:05
167,T122407,情報応用工学科,山下 直子,080-9521-8537,学生,,FALSE,Mtu08URf^y,FALSE,2025-07-10 07:31:05
168,80493,教務部,山口 晃,12-9491-6480,教員,特任,FALSE,z_M3E0NjlR,FALSE,2025-07-10 07:31:05
169,T123900,機械電子工学科,佐藤 亮介,75-2367-9296,学生,,FALSE,s^0i6pOyt4,FALSE,2025-07-10 07:31:05
170,T124826,機械電子工学科,山崎 学,090-4716-7640,学生,,FALSE,_l06B)#zId,FALSE,2025-07-10 07:31:05
171,87023,教務部,田中 陽一,080-9335-6103,職員,嘱託,FALSE,%%35PAvY42,FALSE,2025-07-10 07:31:05
172,T124760,情報応用工学科,近藤 裕美子,070-2506-2395,学生,,FALSE,SWY_6LXlJx,FALSE,2025-07-10 07:31:05
173,T125513,機械電子工学科,渡辺 太郎,090-3684-4583,学生,,FALSE,Ld3oOpf*p),FALSE,2025-07-10 07:31:05
174,T124590,機械電子工学科,高橋 裕太,090-9011-3546,学生,,FALSE,*57$BPqx3@,FALSE,2025-07-10 07:31:05
175,T125965,機械電子工学科,藤田 太一,080-6195-9410,学生,,FALSE,+hc9GsEg^l,FALSE,2025-07-10 07:31:05
176,14290,財務部,小林 零,090-2316-6131,教員,専任,FALSE,x0N22vpn+N,FALSE,2025-07-10 07:31:05
177,T123857,機械電子工学科,青木 千代,070-3222-2485,学生,,FALSE,(*%7SRVim9,FALSE,2025-07-10 07:31:05
178,T122990,機械電子工学科,加藤 あすか,080-2856-5183,学生,,FALSE,!3B5L%MoJu,FALSE,2025-07-10 07:31:05
179,T122416,機械電子工学科,吉田 裕樹,080-1295-4876,学生,,FALSE,+0YPvlhhcL,FALSE,2025-07-10 07:31:05
180,81402,財務部,鈴木 和也,89-4443-7102,職員,専任,FALSE,^xFFOya2#0,FALSE,2025-07-10 07:31:05
181,T123665,機械電子工学科,山田 洋介,090-9655-0824,学生,,FALSE,c#1mEgz4B$,FALSE,2025-07-10 07:31:05
182,T122798,情報応用工学科,山田 晃,40-0895-1259,学生,,FALSE,zf0sB+t4Q@,FALSE,2025-07-10 07:31:05
183,T125585,機械電子工学科,佐藤 治,090-5272-6067,学生,,FALSE,A4Oh4Txu$K,FALSE,2025-07-10 07:31:05
184,T122383,情報応用工学科,小林 稔,070-6221-6667,学生,,FALSE,W8Y@5B^e+^,FALSE,2025-07-10 07:31:05
185,T124711,情報応用工学科,渡辺 和也,070-7686-3821,学生,,FALSE,^4PIDkFf56,FALSE,2025-07-10 07:31:05
186,T122210,機械電子工学科,山田 拓真,080-5675-6388,学生,,FALSE,%5xO7Snvb2,FALSE,2025-07-10 07:31:05
187,41941,教務部,高橋 あすか,05-2759-2656,職員,臨時,FALSE,P!KFP1jl(O,FALSE,2025-07-10 07:31:05
188,36911,教務部,岡本 零,07-8568-2584,職員,臨時,FALSE,b#t*+4Xf7z,FALSE,2025-07-10 07:31:05
189,37168,教務部,井上 京助,86-1945-8192,職員,専任,FALSE,7T#61QIf1@,FALSE,2025-07-10 07:31:05
190,T123378,情報応用工学科,井上 浩,080-0525-5542,学生,,FALSE,!PQ1ZXPeu@,FALSE,2025-07-10 07:31:05
191,T125332,情報応用工学科,田中 修平,070-1890-1807,学生,,FALSE,Y_un3EKe0&,FALSE,2025-07-10 07:31:05
192,T123166,情報応用工学科,高橋 結衣,080-5396-7569,学生,,FALSE,#)r7GiX$1*,FALSE,2025-07-10 07:31:05
193,T122551,機械電子工学科,高橋 舞,53-0860-3017,学生,,FALSE,_gk6#MadT8,FALSE,2025-07-10 07:31:05
194,T125376,情報応用工学科,橋本 稔,62-1532-6556,学生,,FALSE,4FhA6RYm)f,FALSE,2025-07-10 07:31:05
195,T122465,情報応用工学科,池田 和也,080-9551-9507,学生,,FALSE,ut9EGO!wu%,FALSE,2025-07-10 07:31:05
196,T122560,情報応用工学科,遠藤 淳,070-9383-0759,学生,,FALSE,!a257GqeRv,FALSE,2025-07-10 07:31:05
197,T123508,情報応用工学科,山田 淳,080-6380-6948,学生,,FALSE,D68Dua_N!%,FALSE,2025-07-10 07:31:05
198,T124492,機械電子工学科,吉田 康弘,080-0195-6166,学生,,FALSE,yk2KlSacV!,FALSE,2025-07-10 07:31:05
199,T122064,情報応用工学科,田中 美加子,070-4653-2655,学生,,FALSE,)717WFSo!U,FALSE,2025-07-10 07:31:05
200,T123120,情報応用工学科,後藤 陽子,090-1547-6032,学生,,FALSE,)10ZKaTglW,FALSE,2025-07-10 07:31:05
201,26623,財務部,山田 直子,84-3346-5139,職員,臨時,FALSE,a)0mPSwuvf,FALSE,2025-07-10 07:31:05
202,T122484,情報応用工学科,石川 春香,79-8836-3790,学生,,FALSE,W1tYlB9f#t,FALSE,2025-07-10 07:31:05
203,T124018,機械電子工学科,渡辺 治,080-0594-1747,学生,,FALSE,7V_vOQf($q,FALSE,2025-07-10 07:31:05
204,T125297,機械電子工学科,清水 あすか,080-1283-5806,学生,,FALSE,^7yXPdMbJs,FALSE,2025-07-10 07:31:05
205,77312,教務部,山田 修平,070-7398-3332,職員,嘱託,FALSE,eUoB!5Diz6,FALSE,2025-07-10 07:31:05
206,T124137,情報応用工学科,池田 直子,090-6350-7271,学生,,FALSE,*s67tJwO4D,FALSE,2025-07-10 07:31:05
207,90673,教務部,山口 千代,080-4347-7613,職員,臨時,FALSE,n@W1XD@qso,FALSE,2025-07-10 07:31:05
208,T125322,機械電子工学科,松本 美加子,090-2511-0215,学生,,FALSE,x94Sbtl_G(,FALSE,2025-07-10 07:31:05
